,ID,geometry,latitude,longitude,aoi_area,date,p,year,2022-01-07,2022-01-12,2022-01-17,2022-01-27,2022-02-01,2022-02-06,2022-02-16,2022-02-21,2022-02-26,2022-03-03,2022-03-08,2022-03-13,2022-03-18,2022-03-23,2022-03-28,2022-04-02,2022-04-07,2022-04-12,2022-04-17,2022-04-22,2022-04-27,2022-05-02,2022-05-12,2022-05-17,2022-05-22
0,5509970,"MULTIPOLYGON (((-15.916666666666686 16.25, -15.916666666666686 16.33333333333337, -15.833333333333314 16.33333333333337, -15.833333333333314 16.25, -15.916666666666686 16.25)))",16.2916666667,-15.875,1114.78,2022-01-07,4.4851899029404905e-05,2022.0,0.05,0.1,0.34,0.34,0.34,0.34,0.34,0.34,0.36,0.36,0.36,0.36,0.36,0.36049772553392256,0.3608325629926107,0.36105902311193344,0.36121290462433076,0.3613179003639704,0.3613898005576292,0.3614391942112946,0.3614732216059748,0.3614967210615577,0.3615129852433783,0.3615242634985057,0.36153209762983873
1,5509969,"MULTIPOLYGON (((-16 16.25, -16 16.33333333333337, -15.916666666666686 16.33333333333337, -15.916666666666686 16.25, -16 16.25)))",16.2916666667,-15.9583333333,6401.76,2022-01-07,0.0001827622403838,2022.0,1.1700000000000002,1.24,2.45,3.3400000000000003,3.3400000000000003,3.3400000000000003,3.3400000000000003,4.04,4.04,4.04,4.220000000000001,4.220000000000001,4.220000000000001,4.351095735385349,4.472139625318926,4.58418085777045,4.688171495284535,4.784963038327677,4.875309381006279,4.9598732966359025,5.039234633083878,5.113899091217756,5.184306912502587,5.250841093007031,5.313834925789369
2,5505644,"MULTIPOLYGON (((-16.416666666666686 16.166666666666686, -16.416666666666686 16.25, -16.333333333333314 16.25, -16.333333333333314 16.166666666666686, -16.416666666666686 16.166666666666686)))",16.2083333333,-16.375,6775.01,2022-01-07,0.0005653128187264,2022.0,3.83,4.69,5.25,5.29,6.15,16.060000000000002,56.620000000000005,65.71000000000001,85.38000000000001,87.07000000000001,165.27,173.26000000000002,249.19000000000003,275.9858642193138,294.06161205866283,306.9671696139011,316.6761274438311,324.2316548291414,330.2215139822876,335.0140798587144,338.8650099760258,341.96515066435734,344.4631376574792,346.4771896537407,348.10216223944275
3,5505643,"MULTIPOLYGON (((-16.5 16.166666666666686, -16.5 16.25, -16.416666666666686 16.25, -16.416666666666686 16.166666666666686, -16.5 16.166666666666686)))",16.2083333333,-16.4583333333,1883.63,2022-01-07,4.778008419912615e-05,2022.0,0.09,0.79,0.87,0.87,1.2,1.2,1.2,6.300000000000001,6.300000000000001,6.300000000000001,6.300000000000001,6.300000000000001,6.78,9.059867914659854,11.096466735759753,12.794407753686857,14.196222807471091,15.371242816808785,16.37783373433669,17.258506405642432,18.04335746887437,18.753943841113507,19.406062620706553,20.01154799947574,20.579418028689126
4,5527255,"MULTIPOLYGON (((-15.5 16.583333333333314, -15.5 16.6666666666668, -15.416666666666686 16.6666666666668, -15.416666666666686 16.583333333333314, -15.5 16.583333333333314)))",16.625,-15.4583333333,223.7,2022-01-07,0.0028162717925793,2022.0,0.63,0.66,0.66,0.66,0.66,0.66,0.66,0.8300000000000001,0.8300000000000001,0.8300000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8981395030218666,0.9484297462416651,0.99173520649111,1.0290715484307098,1.0614236757016122,1.089664243709253,1.1145292341497262,1.13662196962202,1.1564290336983085,1.174339460236731,1.1906631432366972,1.2056468715915263
5,5505648,"MULTIPOLYGON (((-16.08333333333337 16.166666666666686, -16.08333333333337 16.25, -16 16.25, -16 16.166666666666686, -16.08333333333337 16.166666666666686)))",16.2083333333,-16.0416666667,6196.900000000001,2022-01-07,0.0004405428520711,2022.0,2.73,3.08,3.37,3.52,3.53,3.53,3.53,5.92,6.03,6.03,6.03,6.03,6.03,6.174783034444242,6.302674779450179,6.4158825659760055,6.5163509892273295,6.605776479338743,6.685629009558932,6.75717646452148,6.8215090731464825,6.879562496634271,6.932138888251335,6.979925672856543,7.023512040282336
6,5505647,"MULTIPOLYGON (((-16.16666666666663 16.166666666666686, -16.16666666666663 16.25, -16.08333333333337 16.25, -16.08333333333337 16.166666666666686, -16.16666666666663 16.166666666666686)))",16.2083333333,-16.125,8602.560000000001,2022-01-07,0.0003940687423278,2022.0,3.39,4.44,4.51,4.76,4.76,4.76,4.76,6.83,6.83,6.83,6.83,6.83,6.83,11.720591932500334,17.877509823537764,22.801326829118498,26.0514649087044,28.13085528658205,29.54720439071725,30.612350978320308,31.487486606217566,32.249117183221855,32.931710843587304,33.55039565974418,34.1120579392024
7,5505646,"MULTIPOLYGON (((-16.25 16.166666666666686, -16.25 16.25, -16.16666666666663 16.25, -16.16666666666663 16.166666666666686, -16.25 16.166666666666686)))",16.2083333333,-16.2083333333,8593.29,2022-01-07,0.0019212664765183,2022.0,16.51,23.02,24.41,27.49,27.49,27.49,27.81,29.9,29.9,29.9,30.39,30.610000000000003,44.03,61.76336752341724,79.25617369137548,94.91454663280095,108.25808889317416,119.39990940568576,128.6726909436479,136.44402952858619,143.04317254932982,148.74022843508496,153.74712725678523,158.22613359897593,162.29980293197477
8,5505645,"MULTIPOLYGON (((-16.333333333333314 16.166666666666686, -16.333333333333314 16.25, -16.25 16.25, -16.25 16.166666666666686, -16.333333333333314 16.166666666666686)))",16.2083333333,-16.2916666667,8602.560000000001,2022-01-07,0.0003626827363017,2022.0,3.12,8.27,8.33,9.39,9.42,9.84,19.27,29.21,53.52,60.41,148.62,166.59,299.76,440.1721602376543,541.7016563252599,607.7682956172662,649.5522570656289,676.0300875788856,693.0035841675874,704.0268746413251,711.2705520974199,716.0779089859432,719.2944722264524,721.4611063465788,722.9286398555854
9,5522926,"MULTIPOLYGON (((-16.25 16.5, -16.25 16.583333333333314, -16.16666666666663 16.583333333333314, -16.16666666666663 16.5, -16.25 16.5)))",16.5416666667,-16.2083333333,1952.78,2022-01-07,0.0017820747856901,2022.0,3.48,8.450000000000001,8.58,9.25,9.25,9.25,392.61,399.28,510.41,517.94,560.6700000000001,566.27,578.59,581.1956254341212,582.3940516607737,582.9647448663394,583.2465719023112,583.390584892123,583.4663934005783,583.5072788486864,583.5297492997539,583.5422746506703,583.5493286575092,583.5533306002347,583.5556127829752
