,ID,latitude,longitude,geometry,aoi_area,total_harvest_area,harvest_date,2019-10-31,2019-11-05,2019-11-12,2019-11-17,2019-11-24,2019-11-29,2019-12-06,2019-12-11,2019-12-18,2019-12-23,2019-12-30
1892,ID1892,16.269718681564346,-16.066806190112064,"POLYGON ((-16.071451401414585 16.265198540988457, -16.071500186674594 16.27419169213476, -16.06216077030152 16.27423876758983, -16.06211241006819 16.265245589030297, -16.071451401414585 16.265198540988457))",104.23,0.25,2019-12-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023985416866545138
1893,ID1893,16.278711842551548,-16.066854778133436,"POLYGON ((-16.071500186674594 16.27419169213476, -16.071549002617395 16.283184835508663, -16.062209160950353 16.28323193837937, -16.06216077030152 16.27423876758983, -16.071500186674594 16.27419169213476))",104.0,1.0,2019-12-30,0.003076923076923077,0.00375,0.004230769230769231,0.004230769230769231,0.004326923076923077,0.004326923076923077,0.004326923076923077,0.004326923076923077,0.005096153846153847,0.005096153846153847,0.009615384615384616
1894,ID1894,16.287704995765633,-16.06690339670722,"POLYGON ((-16.071549002617395 16.283184835508663, -16.07159784924953 16.292177971106337, -16.062257582021186 16.292225101395083, -16.062209160950353 16.28323193837937, -16.071549002617395 16.283184835508663))",104.0,0.55,2019-10-31,0.003942307692307693,0.00451923076923077,0.005192307692307693,0.00528846153846154,0.00528846153846154,0.00528846153846154,0.00528846153846154,0.00528846153846154,0.00528846153846154,0.00528846153846154,0.00528846153846154
1895,ID1895,16.296698141202775,-16.066952045839937,"POLYGON ((-16.07159784924953 16.292177971106337, -16.071646726577573 16.301171098923938, -16.062306033520514 16.30121825663313, -16.062257582021186 16.292225101395083, -16.07159784924953 16.292177971106337))",103.97,0.07,2019-10-31,0.000673271135904588,0.000673271135904588,0.000673271135904588,0.000673271135904588,0.000673271135904588,0.000673271135904588,0.000673271135904588,0.000673271135904588,0.000673271135904588,0.000673271135904588,0.000673271135904588
1896,ID1896,16.305691278859126,-16.067000725538115,"POLYGON ((-16.071646726577573 16.301171098923938, -16.071695634608073 16.31016421895762, -16.062354515454846 16.310211404089678, -16.062306033520514 16.30121825663313, -16.071646726577573 16.301171098923938))",104.0,2.8000000000000003,2019-10-31,0.01903846153846154,0.020096153846153847,0.024711538461538462,0.024903846153846155,0.02653846153846154,0.02653846153846154,0.026923076923076925,0.026923076923076925,0.026923076923076925,0.026923076923076925,0.026923076923076925
1897,ID1897,16.31468440873086,-16.0670494358083,"POLYGON ((-16.071695634608073 16.31016421895762, -16.071744573347605 16.319157331203563, -16.062403027830694 16.31920454376089, -16.062354515454846 16.310211404089678, -16.071695634608073 16.31016421895762))",104.09,7.42,2019-10-31,0.02084734364492266,0.026611586127389758,0.038908636756652897,0.039773273129022964,0.05264674800653281,0.053895667211067345,0.06705735421270055,0.06945912191372851,0.06955519262176962,0.06955519262176962,0.07128446536650976
1898,ID1898,16.32367753081413,-16.06709817665703,"POLYGON ((-16.071744573347605 16.319157331203563, -16.071793542802745 16.32815043565791, -16.062451570654574 16.328197675642915, -16.062403027830694 16.31920454376089, -16.071744573347605 16.319157331203563))",104.22,9.49,2019-12-06,0.004701592784494339,0.004989445403953177,0.017559009786989065,0.017559009786989065,0.03761274227595472,0.03761274227595472,0.06687775858760316,0.07186720399155633,0.09105737862214547,0.09105737862214547,0.09105737862214547
1899,ID1899,16.3326706451051,-16.067146948090855,"POLYGON ((-16.071793542802745 16.32815043565791, -16.071842542980068 16.337143532316837, -16.062500143933004 16.337190799731946, -16.062451570654574 16.328197675642915, -16.071793542802745 16.32815043565791))",104.21000000000001,44.559999999999995,2019-12-06,0.03253046732559255,0.03320218788983783,0.10526820842529508,0.10526820842529508,0.19230400153536129,0.19230400153536129,0.37808271758948275,0.3992898954035121,0.4254869974090778,0.4254869974090778,0.4275981191824201
1900,ID1900,16.34166375159994,-16.06719575011632,"POLYGON ((-16.071842542980068 16.337143532316837, -16.071891573886152 16.34613662117651, -16.062548747672512 16.346183916024135, -16.062500143933004 16.337190799731946, -16.071842542980068 16.337143532316837))",104.22,5.550000000000001,2019-10-31,0.025331030512377666,0.027825753214354255,0.040299366724237194,0.040683170216848974,0.05142966800997889,0.052005373248896564,0.05315678372673191,0.05315678372673191,0.05325273459988485,0.05325273459988485,0.05325273459988485
1901,ID1901,16.350656850294822,-16.067244582739992,"POLYGON ((-16.071891573886152 16.34613662117651, -16.071940635527593 16.355129702233082, -16.062597381879627 16.35517702451564, -16.062548747672512 16.346183916024135, -16.071891573886152 16.34613662117651))",104.23,8.290000000000001,2019-10-31,0.05785282548210688,0.07118871725990597,0.07464261728868847,0.07464261728868847,0.07512232562601938,0.07512232562601938,0.07953564232946368,0.07953564232946368,0.07953564232946368,0.07953564232946368,0.07953564232946368
1902,ID1902,16.3596499411859,-16.067293445968417,"POLYGON ((-16.071940635527593 16.355129702233082, -16.071989727910974 16.36412277548274, -16.062646046560886 16.364170125202655, -16.062597381879627 16.35517702451564, -16.071940635527593 16.355129702233082))",104.08,38.37,2019-12-06,0.05332436587240584,0.0632205995388163,0.1464258262874712,0.14729054573405076,0.19292851652574944,0.19398539584934668,0.31600691775557266,0.3170637970791699,0.3681783243658724,0.36827440430438124,0.3686587240584166
1903,ID1903,16.368643024269353,-16.067342339808175,"POLYGON ((-16.071989727910974 16.36412277548274, -16.0720388510429 16.373115840921635, -16.06269474172283 16.373163218081324, -16.062646046560886 16.364170125202655, -16.071989727910974 16.36412277548274))",103.98,32.150000000000006,2019-12-06,0.05020196191575303,0.0595306789767263,0.09549913444893249,0.09857664935564532,0.14031544527793807,0.14291209848047703,0.22331217541834972,0.22552413925754958,0.26476245431813816,0.26851317561069443,0.30919407578380464
1904,ID1904,16.377636099541352,-16.06739126426584,"POLYGON ((-16.0720388510429 16.373115840921635, -16.072088004929974 16.38210889854594, -16.062743467371995 16.382156303147827, -16.06269474172283 16.373163218081324, -16.0720388510429 16.373115840921635))",104.04,19.54,2019-10-31,0.06535947712418301,0.07179930795847751,0.10592079969242599,0.10938100730488273,0.12764321414840446,0.12841214917339486,0.15580545943867743,0.15609381007304884,0.16762783544790466,0.16868512110726644,0.18781237985390234
1905,ID1905,16.386629166998045,-16.06744021934797,"POLYGON ((-16.072088004929974 16.38210889854594, -16.072137189578797 16.39110194835182, -16.06279222351494 16.391149380398335, -16.062743467371995 16.382156303147827, -16.072088004929974 16.38210889854594))",104.0,18.650000000000002,2019-12-06,0.03548076923076923,0.042019230769230774,0.05923076923076924,0.059519230769230776,0.09692307692307693,0.09711538461538462,0.17067307692307693,0.17298076923076924,0.17653846153846156,0.17653846153846156,0.1793269230769231
