,ID,geometry,latitude,longitude,aoi_area,date,p,year,2022-07-01,2022-07-06,2022-07-11,2022-07-16,2022-07-21,2022-07-26,2022-07-31,2022-08-05,2022-08-10,2022-08-15,2022-08-20,2022-08-25,2022-08-30,2022-09-04,2022-09-11,2022-09-19,2022-09-24,2022-09-29
0,5509970,"MULTIPOLYGON (((-15.916666666666686 16.25, -15.916666666666686 16.33333333333337, -15.833333333333314 16.33333333333337, -15.833333333333314 16.25, -15.916666666666686 16.25)))",16.2916666667,-15.875,1114.78,2022-07-01,0.0,2022.0,8.483000145921775e-31,2.043484271930394e-18,2.8448615309604644e-11,3.7641627422801287e-07,9.04668922619667e-05,0.0023133081555530973,0.019168433128223354,0.08916336114971168,0.2769389251979727,0.5692539655327565,0.8423202976053701,1.0269392778860968,1.1331888485632522,1.190201571754158,1.2199999999999112,1.2354759001313842,1.2435342372077334,1.247757531728461
1,5509969,"MULTIPOLYGON (((-16 16.25, -16 16.33333333333337, -15.916666666666686 16.33333333333337, -15.916666666666686 16.25, -16 16.25)))",16.2916666667,-15.9583333333,6401.76,2022-07-01,0.0003014795931118,2022.0,3.774935064935453e-29,9.09350501951538e-17,1.2661799232989546e-09,1.7365273971699626e-05,0.005463643249694716,0.18854269768409493,1.7170831261937634,7.201435466834645,18.001163914508478,30.697810916221798,40.83639214339319,47.345583568049555,51.10463758186445,53.17371906512864,54.28999999999983,54.88829195250085,55.20893553670906,55.381300356447056
2,5505644,"MULTIPOLYGON (((-16.416666666666686 16.166666666666686, -16.416666666666686 16.25, -16.333333333333314 16.25, -16.333333333333314 16.166666666666686, -16.416666666666686 16.166666666666686)))",16.2083333333,-16.375,6766.41,2022-07-01,0.0028257229461413,2022.0,8.703891970889844,13.040008842523203,18.978106362332618,26.93317244182591,37.13144443058565,49.09764922115516,61.68915822485785,73.7297810124957,84.46964529648794,93.6260686329245,101.22558150010845,107.44256982776719,112.49586826713343,116.59701714123854,119.9299999999997,122.64681205318871,124.86979140654473,126.69618270407602
3,5505643,"MULTIPOLYGON (((-16.5 16.166666666666686, -16.5 16.25, -16.416666666666686 16.25, -16.416666666666686 16.166666666666686, -16.5 16.166666666666686)))",16.2083333333,-16.4583333333,1883.63,2022-07-01,0.0026225957327075,2022.0,6.247002100821132,9.368234133594253,13.138958228140142,17.103153712433336,20.805277465262254,23.968350047081344,26.512369851964785,28.483058567693103,29.977936059992338,31.101045609689084,31.943095056937075,32.57617395098318,33.05490871560727,33.419682075319564,33.70000000000006,33.91733909082647,34.08734922915964,34.22148363557795
4,5527255,"MULTIPOLYGON (((-15.5 16.583333333333314, -15.5 16.6666666666668, -15.416666666666686 16.6666666666668, -15.416666666666686 16.583333333333314, -15.5 16.583333333333314)))",16.625,-15.4583333333,223.7,2022-07-01,0.0004470272686633,2022.0,2.2829595108062129e-10,1.148960336952383e-06,0.0002700540715762332,0.010303378067888155,0.12931112459424346,0.7566460475837586,2.6845162892222323,6.6131593307868135,12.183174330668715,17.77297864259033,22.1324112286768,25.074510239293502,26.918829031761256,28.03491810201599,28.699999999999893,29.09427060112494,29.32801437178144,29.466970549235658
5,5505648,"MULTIPOLYGON (((-16.08333333333337 16.166666666666686, -16.08333333333337 16.25, -16 16.25, -16 16.166666666666686, -16.08333333333337 16.166666666666686)))",16.2083333333,-16.0416666667,6196.9,2022-07-01,0.0,2022.0,7.690331037658336e-17,1.587987224686144e-09,2.637688811885416e-05,0.0072173317923672955,0.195178918444307,1.7363403566603128,8.726706856138541,26.683139777199802,53.87915703429838,79.5144120310947,97.25522647947443,107.71124821587553,113.43020073442368,116.46102340489473,118.05000000000022,118.88229931231021,119.31989014347403,119.55130981706213
6,5505647,"MULTIPOLYGON (((-16.16666666666663 16.166666666666686, -16.16666666666663 16.25, -16.08333333333337 16.25, -16.08333333333337 16.166666666666686, -16.16666666666663 16.166666666666686)))",16.2083333333,-16.125,8602.56,2022-07-01,0.0,2022.0,7.656265989570499e-10,3.853098484062768e-06,0.0009044609874320419,0.03412784586502546,0.41568205323886476,2.3396868117872094,8.28483710286511,21.949453953907568,43.040943718711134,63.5214937782263,78.09873632566102,86.95448297995588,91.96893341960649,94.73397003567905,96.2499999999998,97.08458860600673,97.54794593224189,97.80786308479622
7,5505646,"MULTIPOLYGON (((-16.25 16.166666666666686, -16.25 16.25, -16.16666666666663 16.25, -16.16666666666663 16.166666666666686, -16.25 16.166666666666686)))",16.2083333333,-16.2083333333,8592.73,2022-07-01,1.97841663825117e-05,2022.0,0.9881563644626097,1.6482993716058294,2.7801766919640745,4.872737672975119,8.791273629395656,15.63427856892411,25.88878622280441,38.37856203417084,50.87320970350849,61.685656523804134,70.23957090062038,76.69098277941325,81.45874939896363,84.96942840549893,87.56999999999985,89.51812101685236,90.99758583042333,92.13746411127838
8,5505645,"MULTIPOLYGON (((-16.333333333333314 16.166666666666686, -16.333333333333314 16.25, -16.25 16.25, -16.25 16.166666666666686, -16.333333333333314 16.166666666666686)))",16.2083333333,-16.2916666667,8602.2,2022-07-01,0.0006091464974076,2022.0,0.004385245812864994,0.027657227440535375,0.12560105187590132,0.47394708403472086,1.5756444418175704,4.513972356978622,11.102197893074921,23.15429764807685,39.5924807907418,56.571989354842735,71.11204278649244,82.30224689713404,90.45424787849572,96.24469670712236,100.3200000000002,103.18599744778206,105.2086772095923,106.64419968340299
9,5522926,"MULTIPOLYGON (((-16.25 16.5, -16.25 16.583333333333314, -16.16666666666663 16.583333333333314, -16.16666666666663 16.5, -16.25 16.5)))",16.5416666667,-16.2083333333,1952.78,2022-07-01,0.0003431006052909,2022.0,2.0127119178291796e-16,2.570270642919944e-11,1.0196067211227931e-07,3.5843317984741405e-05,0.0026224682292651865,0.06646963917894558,0.7003555856299412,4.035917949776285,16.185616574071783,47.06077771648313,95.20823570675383,145.25785980572704,185.86054635108178,214.69849862739764,233.87000000000023,246.237028793352,254.12517654952708,259.1487175412776
