,ID,geometry,latitude,longitude,aoi_area,date,p,year,2022-07-01,2022-07-06,2022-07-11,2022-07-16,2022-07-21,2022-07-26,2022-07-31,2022-08-05,2022-08-10,2022-08-15,2022-08-20,2022-08-25,2022-08-30,2022-09-04,2022-09-19,2022-09-24,2022-09-29
0,5509970,"MULTIPOLYGON (((-15.916666666666686 16.25, -15.916666666666686 16.33333333333337, -15.833333333333314 16.33333333333337, -15.833333333333314 16.25, -15.916666666666686 16.25)))",16.2916666667,-15.875,1114.78,2022-07-01,0.0,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,1.4325314021906348,3.57238119464339,5.830151026398565,7.739832446930623,9.323350651150683,10.719354645863996,12.04708737866595,13.39024744377736,14.808572456586468
1,5509969,"MULTIPOLYGON (((-16 16.25, -16 16.33333333333337, -15.916666666666686 16.33333333333337, -15.916666666666686 16.25, -16 16.25)))",16.2916666667,-15.9583333333,6401.76,2022-07-01,0.0003014795931118,2022.0,1.93,1.93,1.94,1.94,1.94,2.2300000000000004,2.2300000000000004,2.8100000000000005,11.216650628496259,24.277187363922447,36.392176480086746,46.331796130130364,54.92493846603252,63.09648973037492,71.51361111486217,80.65139634590933,90.88588602963908
2,5505644,"MULTIPOLYGON (((-16.416666666666686 16.166666666666686, -16.416666666666686 16.25, -16.333333333333314 16.25, -16.333333333333314 16.166666666666686, -16.416666666666686 16.166666666666686)))",16.2083333333,-16.375,6766.41,2022-07-01,0.0028257229461413,2022.0,19.12,19.14,29.57,37.22,41.07,58.370000000000005,58.39000000000001,60.040000000000006,84.99664655053574,109.53380058638875,131.4651984245892,150.33871104871847,166.5131318932108,180.54600411559844,192.9482844886582,204.1248154281931,214.38068084061524
3,5505643,"MULTIPOLYGON (((-16.5 16.166666666666686, -16.5 16.25, -16.416666666666686 16.25, -16.416666666666686 16.166666666666686, -16.5 16.166666666666686)))",16.2083333333,-16.4583333333,1883.63,2022-07-01,0.0026225957327075,2022.0,4.94,4.94,14.080000000000002,20.31,20.46,23.01,23.01,23.24,26.318351015173548,28.26135109324485,29.461113611279533,30.231688829509746,30.75909328047061,31.144603981109938,31.442599830597054,31.682797316940835,31.88204770594693
4,5527255,"MULTIPOLYGON (((-15.5 16.583333333333314, -15.5 16.6666666666668, -15.416666666666686 16.6666666666668, -15.416666666666686 16.583333333333314, -15.5 16.583333333333314)))",16.625,-15.4583333333,223.7,2022-07-01,0.0004470272686633,2022.0,0.1,0.24,0.25,0.43,0.47,0.47,0.47,10.57,10.660051001061138,10.695182960686513,10.708815991920035,10.714095354736962,10.716138135710674,10.716928317758653,10.717233936736426,10.717352135597492,10.717397848464234
5,5505648,"MULTIPOLYGON (((-16.08333333333337 16.166666666666686, -16.08333333333337 16.25, -16 16.25, -16 16.166666666666686, -16.08333333333337 16.166666666666686)))",16.2083333333,-16.0416666667,6196.9,2022-07-01,0.0,2022.0,0.0,0.0,0.0,0.0,0.0,1.22,1.22,1.84,7.344710731827334,15.896805960719202,23.82975257059256,30.33825796421596,35.9650842624584,41.31585092665457,46.82741795421963,52.810878746080185,59.51246629699274
6,5505647,"MULTIPOLYGON (((-16.16666666666663 16.166666666666686, -16.16666666666663 16.25, -16.08333333333337 16.25, -16.08333333333337 16.166666666666686, -16.16666666666663 16.166666666666686)))",16.2083333333,-16.125,8602.56,2022-07-01,0.0,2022.0,0.0,0.0,0.0,0.0,0.0,8.540000000000001,8.540000000000001,9.79,12.559909036998294,14.390379186936567,15.539128893669968,16.255757168690543,16.707512539435125,16.99646268630728,17.183886485386893,17.306937042980508,17.388540579840406
7,5505646,"MULTIPOLYGON (((-16.25 16.166666666666686, -16.25 16.25, -16.16666666666663 16.25, -16.16666666666663 16.166666666666686, -16.25 16.166666666666686)))",16.2083333333,-16.2083333333,8592.73,2022-07-01,1.97841663825117e-05,2022.0,0.17,0.17,0.98,2.49,3.73,35.24,35.24,36.92,78.73955616761958,118.91657879492772,148.82220254431937,171.2627043167876,189.9688590393369,207.23993603937296,224.28849454902357,241.73836332866495,259.9205592951271
8,5505645,"MULTIPOLYGON (((-16.333333333333314 16.166666666666686, -16.333333333333314 16.25, -16.25 16.25, -16.25 16.166666666666686, -16.333333333333314 16.166666666666686)))",16.2083333333,-16.2916666667,8602.2,2022-07-01,0.0006091464974076,2022.0,5.24,5.24,7.65,8.49,9.65,24.130000000000003,24.130000000000003,25.640000000000004,99.05146032772285,212.32734803214885,313.6731619058365,391.38948236741305,452.8893353542199,506.8273498525768,559.8440083400192,617.0868788782718,682.9564122125905
9,5522926,"MULTIPOLYGON (((-16.25 16.5, -16.25 16.583333333333314, -16.16666666666663 16.583333333333314, -16.16666666666663 16.5, -16.25 16.5)))",16.5416666667,-16.2083333333,1952.78,2022-07-01,0.0003431006052909,2022.0,0.67,1.14,8.81,10.72,11.56,12.04,12.04,21.840000000000003,68.30078448437561,127.63762591353124,177.99644873619408,214.06542987778417,238.71828864218543,255.90132230160657,268.6481058352282,278.98304080519176,288.1972802196432
10,5522925,"MULTIPOLYGON (((-16.333333333333314 16.5, -16.333333333333314 16.583333333333314, -16.25 16.583333333333314, -16.25 16.5, -16.333333333333314 16.5)))",16.5416666667,-16.2916666667,865.67,2022-07-01,0.0007970704772026,2022.0,0.6900000000000001,0.76,4.640000000000001,5.450000000000001,5.550000000000001,7.960000000000001,7.960000000000001,9.19,28.740119478544557,53.708323358303765,74.89868882260194,90.07606687622896,100.44968281234834,107.68008937508098,113.04377713487872,117.39258905676363,121.26982624626947
