,ID,latitude,longitude,geometry,aoi_area,total_flooding_area,flooding_date,2021-02-01,2021-02-06,2021-02-11,2021-02-16,2021-02-21,2021-02-26,2021-03-03,2021-03-08,2021-03-13,2021-03-18,2021-03-23,2021-03-28,2021-04-02,2021-04-07,2021-04-12,2021-04-17,2021-04-22,2021-04-27,2021-05-02,2021-05-07,2021-05-12,2021-05-17,2021-05-22,2021-05-27
0,ID0,15.961332706149511,-16.50340463792821,"POLYGON ((-16.508032585608092 15.956804195173698, -16.50809987401282 15.965796053968957, -16.498776488107644 15.965861169516739, -16.49870961531303 15.956869272153263, -16.508032585608092 15.956804195173698))",18.310000000000002,0.7500000000000001,2021-04-02,0.0,0.0,0.002184598580010923,0.00819224467504096,0.009284543965046422,0.010922992900054614,0.010922992900054614,0.010922992900054614,0.012015292190060076,0.014746040415073729,0.014746040415073729,0.017476788640087382,0.033315128345166575,0.033315128345166575,0.033315128345166575,0.033315128345166575,0.033315128345166575,0.033315128345166575,0.033315128345166575,0.0409612233752048,0.0409612233752048,0.0409612233752048,0.0409612233752048,0.0409612233752048
1,ID1,15.97032458036201,-16.503471739926397,"POLYGON ((-16.50809987401282 15.965796053968957, -16.50816720534679 15.9747879049892, -16.498843403566397 15.97485305910851, -16.498776488107644 15.965861169516739, -16.50809987401282 15.965796053968957))",87.97,1.7100000000000002,2021-02-16,0.0,0.0,0.0005683755825849722,0.006820506991019666,0.006934182107536661,0.007275207457087644,0.007275207457087644,0.007729907923155622,0.00795725815618961,0.008298283505740594,0.008298283505740594,0.008866659088325566,0.013754689098556327,0.013754689098556327,0.013982039331590316,0.013982039331590316,0.013982039331590316,0.015459815846311243,0.015459815846311243,0.019324769807889053,0.019324769807889053,0.019324769807889053,0.019324769807889053,0.019438444924406047
2,ID2,15.97931644679917,-16.503538884725767,"POLYGON ((-16.50816720534679 15.9747879049892, -16.508234579618996 15.983779748230464, -16.49891036169823 15.983844940924621, -16.498843403566397 15.97485305910851, -16.50816720534679 15.9747879049892))",84.25,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,ID3,15.988308305457043,-16.50360607233529,"POLYGON ((-16.508234579618996 15.983779748230464, -16.508301996838455 15.9927715836888, -16.4989773625121 15.992836814961121, -16.49891036169823 15.983844940924621, -16.508234579618996 15.983779748230464))",83.9,1.36,2021-05-07,0.0,0.0,0.0,0.004648390941597139,0.004648390941597139,0.004648390941597139,0.004648390941597139,0.004648390941597139,0.004648390941597139,0.004648390941597139,0.004648390941597139,0.004648390941597139,0.0059594755661501785,0.0059594755661501785,0.0061978545887961855,0.0061978545887961855,0.0061978545887961855,0.007866507747318235,0.007866507747318235,0.015137067938021453,0.015137067938021453,0.015137067938021453,0.015137067938021453,0.016209773539928484
4,ID4,15.997300156331663,-16.50367330276395,"POLYGON ((-16.508301996838455 15.9927715836888, -16.50836945701418 16.00176341136024, -16.49904440601696 16.00182868121405, -16.4989773625121 15.992836814961121, -16.508301996838455 15.9927715836888))",86.32000000000001,1.7800000000000002,2021-05-07,0.0,0.0,0.00023169601482854493,0.001506024096385542,0.001506024096385542,0.001506024096385542,0.001506024096385542,0.0016218721037998146,0.001737720111214087,0.0028962001853568117,0.0028962001853568117,0.003243744207599629,0.006139944392956441,0.006139944392956441,0.006255792400370714,0.006255792400370714,0.006255792400370714,0.009151992585727525,0.009151992585727525,0.01702965708989805,0.01702965708989805,0.01702965708989805,0.01702965708989805,0.020620945319740496
5,ID5,16.006291999419076,-16.503740576020736,"POLYGON ((-16.50836945701418 16.00176341136024, -16.508436960155194 16.01075523124084, -16.499111492221786 16.010820539679465, -16.49904440601696 16.00182868121405, -16.50836945701418 16.00176341136024))",71.45,0.63,2021-05-07,0.0,0.0,0.0,0.0,0.0,0.00013995801259622114,0.00013995801259622114,0.00013995801259622114,0.00013995801259622114,0.0005598320503848845,0.0005598320503848845,0.002099370188943317,0.0026592022393282016,0.0026592022393282016,0.0026592022393282016,0.0026592022393282016,0.0026592022393282016,0.003079076277116865,0.003079076277116865,0.00839748075577327,0.00839748075577327,0.00839748075577327,0.00839748075577327,0.008817354793561933
6,ID6,16.015283834715337,-16.503807892114644,"POLYGON ((-16.508436960155194 16.01075523124084, -16.508504506270526 16.019747043326646, -16.499178621135552 16.019812390353408, -16.499111492221786 16.010820539679465, -16.508436960155194 16.01075523124084))",53.080000000000005,1.19,2021-05-07,0.0,0.0,0.0,0.0,0.005840241145440844,0.005840241145440844,0.006217030896759608,0.008477769404672193,0.008477769404672193,0.009419743782969104,0.009419743782969104,0.012434061793519217,0.012434061793519217,0.012434061793519217,0.012434061793519217,0.012434061793519217,0.012434061793519217,0.013376036171816128,0.013376036171816128,0.021477015825169556,0.021477015825169556,0.021477015825169556,0.021477015825169556,0.022418990203466466
7,ID7,16.0242756622165,-16.503875251054694,"POLYGON ((-16.508504506270526 16.019747043326646, -16.508572095369214 16.02873884761371, -16.499245792767233 16.028804233231934, -16.499178621135552 16.019812390353408, -16.508504506270526 16.019747043326646))",26.51,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,ID8,16.0332674819186,-16.50394265284988,"POLYGON ((-16.508572095369214 16.02873884761371, -16.5086397274603 16.037730644098065, -16.49931300712582 16.037796068311092, -16.499245792767233 16.028804233231934, -16.508572095369214 16.02873884761371))",3.52,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,ID9,15.934421816161318,-16.493881634758157,"POLYGON ((-16.498509252824615 15.929893533472136, -16.498575997680444 15.938885454127009, -16.48925381490999 15.938950051235997, -16.489187484878272 15.929958092261732, -16.498509252824615 15.929893533472136))",7.62,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
