,ID,latitude,longitude,geometry,aoi_area,total_flooding_area,flooding_date,2021-07-04,2021-07-09,2021-07-16,2021-07-21,2021-07-28,2021-08-02,2021-08-09,2021-08-14,2021-08-21,2021-08-26,2021-09-02,2021-09-07,2021-09-14,2021-09-19,2021-09-26,2021-10-01,2021-10-08
2713,ID2713,16.45115148578778,-15.693851635576213,"POLYGON ((-15.6985099350002 16.44663902754999, -15.69854211523898 16.45563293352174, -15.689193123450268 16.45566388388739, -15.689161373814523 16.44666996006839, -15.6985099350002 16.44663902754999))",43.21,1.9100000000000001,2021-09-26,0.006248553575561213,0.006248553575561213,0.007868548947003009,0.007868548947003009,0.0111085396898866,0.0111085396898866,0.01388567461235825,0.01388567461235825,0.01388567461235825,0.01388567461235825,0.022448507289979172,0.022448507289979172,0.022448507289979172,0.022448507289979172,0.03355704697986577,0.03355704697986577,0.04420273084934043
2714,ID2714,16.469139300081753,-15.693915605332375,"POLYGON ((-15.698574315551717 16.46462683172534, -15.698606535942737 16.473620722157, -15.689256682142094 16.4736517082219, -15.689224892891366 16.46465779993982, -15.698574315551717 16.46462683172534))",26.44,0.33,2021-10-08,0.00416036308623298,0.00416036308623298,0.00416036308623298,0.00416036308623298,0.00416036308623298,0.00416036308623298,0.00416036308623298,0.00416036308623298,0.007564296520423601,0.007564296520423601,0.007564296520423601,0.007564296520423601,0.007564296520423601,0.007564296520423601,0.00794251134644478,0.00794251134644478,0.012481089258698942
2715,ID2715,16.478133195571097,-15.693947620127467,"POLYGON ((-15.698606535942737 16.473620722157, -15.698638776416386 16.482614604812976, -15.689288491206732 16.48264560872988, -15.689256682142094 16.4736517082219, -15.698606535942737 16.473620722157))",17.91,0.24000000000000002,2021-07-04,0.003908431044109436,0.003908431044109436,0.00446677833612507,0.00446677833612507,0.008375209380234505,0.008375209380234505,0.008375209380234505,0.008375209380234505,0.01228364042434394,0.01228364042434394,0.01228364042434394,0.01228364042434394,0.01228364042434394,0.01228364042434394,0.01228364042434394,0.01228364042434394,0.013400335008375208
2716,ID2716,16.469170068569884,-15.68456595715235,"POLYGON ((-15.689224892891366 16.46465779993982, -15.689256682142094 16.4736517082219, -15.67990680840523 16.47368227686328, -15.679875450299098 16.46468835097124, -15.689224892891366 16.46465779993982))",53.580000000000005,0.5900000000000001,2021-10-08,0.001866368047779022,0.001866368047779022,0.001866368047779022,0.001866368047779022,0.0026129152668906306,0.0026129152668906306,0.0026129152668906306,0.0026129152668906306,0.0026129152668906306,0.0026129152668906306,0.0037327360955580436,0.0037327360955580436,0.0050391937290033585,0.0050391937290033585,0.0050391937290033585,0.0050391937290033585,0.011011571481896229
2717,ID2717,16.4781639817902,-15.684597540670637,"POLYGON ((-15.689256682142094 16.4736517082219, -15.689288491206732 16.48264560872988, -15.679938186056553 16.48267619498277, -15.67990680840523 16.47368227686328, -15.689256682142094 16.4736517082219))",54.400000000000006,0.81,2021-07-28,0.0005514705882352941,0.0005514705882352941,0.0005514705882352941,0.0005514705882352941,0.006801470588235293,0.006801470588235293,0.006801470588235293,0.006801470588235293,0.007169117647058822,0.007169117647058822,0.007169117647058822,0.007169117647058822,0.007904411764705882,0.007904411764705882,0.00974264705882353,0.00974264705882353,0.01488970588235294
2718,ID2718,16.46020648127206,-15.675185156344956,"POLYGON ((-15.679844111733937 16.45569441731043, -15.679875450299098 16.46468835097124, -15.670525988045231 16.46471848481568, -15.670495080360254 16.45572453378692, -15.679844111733937 16.45569441731043))",20.86,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2719,ID2719,16.469200419752763,-15.675216289173427,"POLYGON ((-15.679875450299098 16.46468835097124, -15.67990680840523 16.47368227686328, -15.670556915002516 16.473712428077203, -15.670525988045231 16.46471848481568, -15.679875450299098 16.46468835097124))",104.0,3.16,2021-10-08,0.002980769230769231,0.002980769230769231,0.005480769230769231,0.005480769230769231,0.008076923076923077,0.008076923076923077,0.009423076923076923,0.009423076923076923,0.014423076923076924,0.014423076923076924,0.019134615384615385,0.019134615384615385,0.020673076923076922,0.020673076923076922,0.024038461538461536,0.024038461538461536,0.030384615384615385
2720,ID2720,16.47819435046358,-15.675247441410637,"POLYGON ((-15.67990680840523 16.47368227686328, -15.679938186056553 16.48267619498277, -15.670587861236278 16.482706363567722, -15.670556915002516 16.473712428077203, -15.67990680840523 16.47368227686328))",57.92,0.63,2021-10-08,0.0,0.0,0.0003453038674033149,0.0003453038674033149,0.0003453038674033149,0.0003453038674033149,0.0003453038674033149,0.0003453038674033149,0.0003453038674033149,0.0003453038674033149,0.0029350828729281767,0.0029350828729281767,0.005006906077348066,0.005006906077348066,0.005179558011049723,0.005179558011049723,0.01087707182320442
2721,ID2721,16.460236397897283,-15.665835899854098,"POLYGON ((-15.670495080360254 16.45572453378692, -15.670525988045231 16.46471848481568, -15.661176506400086 16.464748201469238, -15.661146029599474 16.455754233312987, -15.670495080360254 16.45572453378692))",52.54,2.39,2021-07-04,0.02322040350209364,0.02322040350209364,0.024743052912066996,0.024743052912066996,0.029501332318233726,0.029501332318233726,0.03559192995812714,0.03559192995812714,0.03844689760182718,0.03844689760182718,0.03920822230681385,0.03920822230681385,0.04187285877426722,0.04187285877426722,0.04358583936048724,0.04358583936048724,0.04548915112295393
2722,ID2722,16.46923035362647,-15.665866601665963,"POLYGON ((-15.670525988045231 16.46471848481568, -15.670556915002516 16.473712428077203, -15.661207002204339 16.47374216185977, -15.661176506400086 16.464748201469238, -15.670525988045231 16.46471848481568))",104.53,7.69,2021-08-09,0.008705634746005931,0.008705634746005931,0.010810293695589782,0.010810293695589782,0.012532287381612934,0.012532287381612934,0.029943556873624794,0.029943556873624794,0.04591983162728403,0.04591983162728403,0.052616473739596284,0.052616473739596284,0.059313115851908536,0.059313115851908536,0.07088874007461972,0.07088874007461972,0.07356739691954461
