,ID,Latitude,Longitude,nasapid,LatNP,LonNP,geometry,aoi_area,total_flooding_area,flooding_date,2022-07-04,2022-07-16,2022-07-28,2022-08-04,2022-08-09,2022-08-16,2022-08-21,2022-08-28,2022-09-02,2022-09-09,2022-09-14,2022-09-21,2022-09-26
0,5509970,16.2916666667,-15.875,152969,16.25,-15.75,"MULTIPOLYGON (((-15.916666666666686 16.25, -15.916666666666686 16.33333333333337, -15.833333333333314 16.33333333333337, -15.833333333333314 16.25, -15.916666666666686 16.25)))",1114.78,20.040000000000003,2022-07-04,18.32,18.32,18.32,18.32,18.32,18.32,18.32,18.34,18.34,20.03,20.03,20.040000000000003,20.040000000000003
1,5509969,16.2916666667,-15.9583333333,152969,16.25,-15.75,"MULTIPOLYGON (((-16 16.25, -16 16.33333333333337, -15.916666666666686 16.33333333333337, -15.916666666666686 16.25, -16 16.25)))",6401.76,73.46000000000001,2022-09-09,10.9,11.25,11.41,11.73,14.540000000000001,16.51,17.610000000000003,17.950000000000003,22.900000000000002,72.03,72.86,73.4,73.46000000000001
2,5505644,16.2083333333,-16.375,152968,16.25,-16.25,"MULTIPOLYGON (((-16.416666666666686 16.166666666666686, -16.416666666666686 16.25, -16.333333333333314 16.25, -16.333333333333314 16.166666666666686, -16.416666666666686 16.166666666666686)))",6766.410000000001,151.82000000000002,2022-09-26,11.43,24.810000000000002,34.760000000000005,34.760000000000005,45.81,45.81,65.26,65.26,80.13000000000001,80.13000000000001,105.89000000000001,105.89000000000001,151.82000000000002
3,5505643,16.2083333333,-16.4583333333,152968,16.25,-16.25,"MULTIPOLYGON (((-16.5 16.166666666666686, -16.5 16.25, -16.416666666666686 16.25, -16.416666666666686 16.166666666666686, -16.5 16.166666666666686)))",1883.63,43.94,2022-07-04,13.99,16.9,17.549999999999997,17.549999999999997,18.789999999999996,18.789999999999996,20.549999999999997,20.549999999999997,26.779999999999998,26.779999999999998,34.879999999999995,34.879999999999995,43.94
4,5527255,16.625,-15.4583333333,153690,16.75,-15.25,"MULTIPOLYGON (((-15.5 16.583333333333314, -15.5 16.6666666666668, -15.416666666666686 16.6666666666668, -15.416666666666686 16.583333333333314, -15.5 16.583333333333314)))",223.70000000000002,34.61000000000001,2022-08-04,0.0,0.0,0.0,28.630000000000003,28.630000000000003,31.810000000000002,31.810000000000002,31.820000000000004,31.820000000000004,32.260000000000005,32.260000000000005,34.61000000000001,34.61000000000001
5,5505648,16.2083333333,-16.0416666667,152968,16.25,-16.25,"MULTIPOLYGON (((-16.08333333333337 16.166666666666686, -16.08333333333337 16.25, -16 16.25, -16 16.166666666666686, -16.08333333333337 16.166666666666686)))",6196.900000000001,142.96,2022-09-26,19.490000000000002,51.6,59.050000000000004,59.17,60.29,60.31,63.79,64.63,71.11999999999999,98.72,109.01,109.01,142.96
6,5505647,16.2083333333,-16.125,152968,16.25,-16.25,"MULTIPOLYGON (((-16.16666666666663 16.166666666666686, -16.16666666666663 16.25, -16.08333333333337 16.25, -16.08333333333337 16.166666666666686, -16.16666666666663 16.166666666666686)))",8602.560000000001,107.19,2022-07-16,19.150000000000002,44.190000000000005,45.93000000000001,45.940000000000005,54.480000000000004,54.480000000000004,60.09,60.09,63.910000000000004,75.72,94.5,94.5,107.19
7,5505646,16.2083333333,-16.2083333333,152968,16.25,-16.25,"MULTIPOLYGON (((-16.25 16.166666666666686, -16.25 16.25, -16.16666666666663 16.25, -16.16666666666663 16.166666666666686, -16.25 16.166666666666686)))",8592.73,112.83000000000001,2022-08-09,8.32,22.590000000000003,31.120000000000005,42.7,73.55000000000001,75.25000000000001,86.18,88.83000000000001,91.71000000000001,96.04,102.71000000000001,103.83000000000001,112.83000000000001
8,5505645,16.2083333333,-16.2916666667,152968,16.25,-16.25,"MULTIPOLYGON (((-16.333333333333314 16.166666666666686, -16.333333333333314 16.25, -16.25 16.25, -16.25 16.166666666666686, -16.333333333333314 16.166666666666686)))",8602.2,140.26,2022-07-04,33.32,50.58,55.21,56.4,72.33,76.01,99.25,100.84,111.33,115.31,124.08,124.87,140.26
9,5522926,16.5416666667,-16.2083333333,153688,16.75,-16.25,"MULTIPOLYGON (((-16.25 16.5, -16.25 16.583333333333314, -16.16666666666663 16.583333333333314, -16.16666666666663 16.5, -16.25 16.5)))",1952.7800000000002,280.49,2022-09-02,23.93,33.96,37.57,38.15,46.68,47.38,94.07000000000001,145.5,211.04000000000002,246.55,251.09,252.6,280.49
10,5522925,16.5416666667,-16.2916666667,153688,16.75,-16.25,"MULTIPOLYGON (((-16.333333333333314 16.5, -16.333333333333314 16.583333333333314, -16.25 16.583333333333314, -16.25 16.5, -16.333333333333314 16.5)))",865.6700000000001,62.18000000000001,2022-07-04,20.17,20.970000000000002,21.200000000000003,21.200000000000003,21.840000000000003,21.840000000000003,22.620000000000005,22.720000000000006,34.080000000000005,48.43000000000001,54.260000000000005,55.77,62.18000000000001
11,5522930,16.5416666667,-15.875,153689,16.75,-15.75,"MULTIPOLYGON (((-15.916666666666686 16.5, -15.916666666666686 16.583333333333314, -15.833333333333314 16.583333333333314, -15.833333333333314 16.5, -15.916666666666686 16.5)))",948.7,44.79,2022-09-09,9.14,9.14,9.14,11.71,11.71,16.98,16.98,18.48,18.48,35.18,35.18,44.79,44.79
