,ID,Latitude,Longitude,nasapid,LatNP,LonNP,geometry,aoi_area,total_flooding_area,flooding_date,2022-07-04,2022-07-16,2022-07-28,2022-08-04,2022-08-09,2022-08-16,2022-08-21,2022-08-28,2022-09-02,2022-09-09,2022-09-14,2022-09-21,2022-09-26
0,5509970,16.2916666667,-15.875,152969,16.25,-15.75,"MULTIPOLYGON (((-15.916666666666686 16.25, -15.916666666666686 16.33333333333337, -15.833333333333314 16.33333333333337, -15.833333333333314 16.25, -15.916666666666686 16.25)))",1114.78,20.040000000000003,2022-07-04,0.016433735804373958,0.016433735804373958,0.016433735804373958,0.016433735804373958,0.016433735804373958,0.016433735804373958,0.016433735804373958,0.01645167656398572,0.01645167656398572,0.017967670751179606,0.017967670751179606,0.017976641130985488,0.017976641130985488
1,5509969,16.2916666667,-15.9583333333,152969,16.25,-15.75,"MULTIPOLYGON (((-16 16.25, -16 16.33333333333337, -15.916666666666686 16.33333333333337, -15.916666666666686 16.25, -16 16.25)))",6401.76,73.46000000000001,2022-09-09,0.001702656769388418,0.0017573292344605232,0.0017823223613506285,0.001832308615130839,0.002271250406138312,0.0025789782809727325,0.002750806028342206,0.0028039164229836794,0.0035771412861463096,0.011251593311839244,0.011381245157581665,0.01146559696083577,0.01147496938341956
2,5505644,16.2083333333,-16.375,152968,16.25,-16.25,"MULTIPOLYGON (((-16.416666666666686 16.166666666666686, -16.416666666666686 16.25, -16.333333333333314 16.25, -16.333333333333314 16.166666666666686, -16.416666666666686 16.166666666666686)))",6766.410000000001,151.82000000000002,2022-09-26,0.001689226635690122,0.0036666415425609736,0.0051371406698677725,0.0051371406698677725,0.006770207539891906,0.006770207539891906,0.009644700808848413,0.009644700808848413,0.011842321112672746,0.011842321112672746,0.015649362069398688,0.015649362069398688,0.022437304272132485
3,5505643,16.2083333333,-16.4583333333,152968,16.25,-16.25,"MULTIPOLYGON (((-16.5 16.166666666666686, -16.5 16.25, -16.416666666666686 16.25, -16.416666666666686 16.166666666666686, -16.5 16.166666666666686)))",1883.63,43.94,2022-07-04,0.007427148643841943,0.008972038032947022,0.0093171164188296,0.0093171164188296,0.009975419801128671,0.009975419801128671,0.010909785892133804,0.010909785892133804,0.014217229498362204,0.014217229498362204,0.018517437076283557,0.018517437076283557,0.023327298885662255
4,5527255,16.625,-15.4583333333,153690,16.75,-15.25,"MULTIPOLYGON (((-15.5 16.583333333333314, -15.5 16.6666666666668, -15.416666666666686 16.6666666666668, -15.416666666666686 16.583333333333314, -15.5 16.583333333333314)))",223.70000000000002,34.61000000000001,2022-08-04,0.0,0.0,0.0,0.12798390701832812,0.12798390701832812,0.14219937416182388,0.14219937416182388,0.14224407688869023,0.14224407688869023,0.14421099687080913,0.14421099687080913,0.15471613768439876,0.15471613768439876
5,5505648,16.2083333333,-16.0416666667,152968,16.25,-16.25,"MULTIPOLYGON (((-16.08333333333337 16.166666666666686, -16.08333333333337 16.25, -16 16.25, -16 16.166666666666686, -16.08333333333337 16.166666666666686)))",6196.900000000001,142.96,2022-09-26,0.0031451209475705597,0.008326744017169874,0.009528958027400796,0.009548322548370958,0.009729058077425808,0.009732285497587501,0.010293856605722213,0.01042940825251335,0.011476706094982973,0.015930545918120348,0.017591053591311783,0.017591053591311783,0.023069599315786924
6,5505647,16.2083333333,-16.125,152968,16.25,-16.25,"MULTIPOLYGON (((-16.16666666666663 16.166666666666686, -16.16666666666663 16.25, -16.08333333333337 16.25, -16.08333333333337 16.166666666666686, -16.16666666666663 16.166666666666686)))",8602.560000000001,107.19,2022-07-16,0.0022260815385187665,0.005136842986273853,0.005339108358442138,0.0053402708031097725,0.006332998549269055,0.006332998549269055,0.006985130007811628,0.006985130007811628,0.007429183870847748,0.00880203102332329,0.010985102109139604,0.010985102109139604,0.012460244392366922
7,5505646,16.2083333333,-16.2083333333,152968,16.25,-16.25,"MULTIPOLYGON (((-16.25 16.166666666666686, -16.25 16.25, -16.16666666666663 16.25, -16.16666666666663 16.166666666666686, -16.25 16.166666666666686)))",8592.73,112.83000000000001,2022-08-09,0.0009682603782499858,0.0026289665798878824,0.003621666222492736,0.004969317085489712,0.008559561396669047,0.008757403060494164,0.01002940858144036,0.010337808822108925,0.010672975876118535,0.01117689023162604,0.011953127818516353,0.012083470561742313,0.013130867605522345
8,5505645,16.2083333333,-16.2916666667,152968,16.25,-16.25,"MULTIPOLYGON (((-16.333333333333314 16.166666666666686, -16.333333333333314 16.25, -16.25 16.25, -16.25 16.166666666666686, -16.333333333333314 16.166666666666686)))",8602.2,140.26,2022-07-04,0.003873427727790565,0.005879891190625654,0.006418125595777825,0.006556462300341774,0.008408314152193626,0.008836111692357769,0.011537746157959591,0.011722582595150077,0.01294203808328102,0.013404710422915068,0.0144242170607519,0.014516054032689312,0.01630513124549534
9,5522926,16.5416666667,-16.2083333333,153688,16.75,-16.25,"MULTIPOLYGON (((-16.25 16.5, -16.25 16.583333333333314, -16.16666666666663 16.583333333333314, -16.16666666666663 16.5, -16.25 16.5)))",1952.7800000000002,280.49,2022-09-02,0.012254324603898031,0.017390591874148646,0.019239238419074343,0.019536250883356036,0.02390438247011952,0.02426284578908018,0.04817234916375628,0.07450916129825172,0.10807156976208276,0.12625590184250146,0.12858079251118917,0.1293540490992329,0.14363625190753695
