,ID,Latitude,Longitude,nasapid,LatNP,LonNP,geometry,aoi_area,total_flooding_area,flooding_date,2022-07-01,2022-07-06,2022-07-11,2022-07-16,2022-07-21,2022-07-26,2022-07-31,2022-08-05,2022-08-10,2022-08-15,2022-08-20,2022-08-25,2022-08-30,2022-09-04,2022-09-19,2022-09-24,2022-09-29
0,5509970,16.2916666667,-15.875,152969,16.25,-15.75,"MULTIPOLYGON (((-15.916666666666686 16.25, -15.916666666666686 16.33333333333337, -15.833333333333314 16.33333333333337, -15.833333333333314 16.25, -15.916666666666686 16.25)))",1114.78,1.72,2022-08-20,0,0,0,0,0,0,0,0.000287052153788191,0.000287052153788191,0.000296022533594072,0.00109438633631748,0.00109438633631748,0.00109438633631748,0.00109438633631748,0.00133658659107627,0.00154290532661153,0.00154290532661153
1,5509969,16.2916666667,-15.9583333333,152969,16.25,-15.75,"MULTIPOLYGON (((-16 16.25, -16 16.33333333333337, -15.916666666666686 16.33333333333337, -15.916666666666686 16.25, -16 16.25)))",6401.76,64.19,2022-08-20,0.000301479593111894,0.000301479593111894,0.000303041663542526,0.000303041663542526,0.000303041663542526,0.000348341706030842,0.000348341706030842,0.000438941791007473,0.00319912024193347,0.00410512109169978,0.00844767688885556,0.00845548724100872,0.00848048036789883,0.00848048036789883,0.00873041163679988,0.0100269300942241,0.0100269300942241
2,5505644,16.2083333333,-16.375,152968,16.25,-16.25,"MULTIPOLYGON (((-16.416666666666686 16.166666666666686, -16.416666666666686 16.25, -16.333333333333314 16.25, -16.333333333333314 16.166666666666686, -16.416666666666686 16.166666666666686)))",6766.41,151.82,2022-08-20,0.00282572294614131,0.00282867872328162,0.00437011650195598,0.00550070125812654,0.00606968835763721,0.00862643558400984,0.00862939136115015,0.00887324297522615,0.0109925351848321,0.0119841984154079,0.0157203007207663,0.0158015845921249,0.0177243176218999,0.0177243176218999,0.019722422968753,0.0224313927178519,0.0224373042721325
3,5505643,16.2083333333,-16.4583333333,152968,16.25,-16.25,"MULTIPOLYGON (((-16.5 16.166666666666686, -16.5 16.25, -16.416666666666686 16.25, -16.416666666666686 16.166666666666686, -16.5 16.166666666666686)))",1883.63,34.93,2022-07-11,0.00262259573270759,0.00262259573270759,0.00747492872804107,0.0107823723342695,0.0108620058079347,0.0122157748602433,0.0122157748602433,0.0123378795198632,0.0146153968666883,0.0174450396309254,0.0178007358132967,0.0178007358132967,0.0178909870834506,0.0178909870834506,0.018310390044754,0.0185439815675053,0.0185439815675053
4,5527255,16.625,-15.4583333333,153690,16.75,-15.25,"MULTIPOLYGON (((-15.5 16.583333333333314, -15.5 16.6666666666668, -15.416666666666686 16.6666666666668, -15.416666666666686 16.583333333333314, -15.5 16.583333333333314)))",223.7,34.61,2022-08-05,0.000447027268663388,0.00107286544479213,0.00111756817165847,0.00192221725525257,0.00210102816271793,0.00210102816271793,0.00210102816271793,0.0472507822977202,0.0586946803755029,0.0703620920876173,0.10500670540903,0.113276709879303,0.114841305319624,0.114841305319624,0.12905677246312,0.143182834152883,0.154716137684399
5,5505648,16.2083333333,-16.0416666667,152968,16.25,-16.25,"MULTIPOLYGON (((-16.08333333333337 16.166666666666686, -16.08333333333337 16.25, -16 16.25, -16 16.166666666666686, -16.08333333333337 16.166666666666686)))",6196.9,134,2022-08-10,0,0,0,0,0,0.000196872629863319,0.000196872629863319,0.000296922654875825,0.0114589552840937,0.0136245542125902,0.0184931175265052,0.0184931175265052,0.0190498475043974,0.0190498475043974,0.0209330471687457,0.0216237150833481,0.0216237150833481
6,5505647,16.2083333333,-16.125,152968,16.25,-16.25,"MULTIPOLYGON (((-16.16666666666663 16.166666666666686, -16.16666666666663 16.25, -16.08333333333337 16.25, -16.08333333333337 16.166666666666686, -16.16666666666663 16.166666666666686)))",8602.56,97.92,2022-08-10,0,0,0,0,0,0.000992727746159283,0.000992727746159283,0.00113803332961351,0.00585290890153629,0.00662942193951568,0.0108456087490235,0.0108456087490235,0.0111885299259755,0.0111885299259755,0.0112524643826954,0.0113826581854704,0.0113826581854704
7,5505646,16.2083333333,-16.2083333333,152968,16.25,-16.25,"MULTIPOLYGON (((-16.25 16.166666666666686, -16.25 16.25, -16.16666666666663 16.25, -16.16666666666663 16.166666666666686, -16.25 16.166666666666686)))",8592.73,112.83,2022-08-20,1.97841663825117E-05,1.97841663825117E-05,0.000114049900322715,0.000289779848779142,0.000434087885922169,0.00410114131364537,0.00410114131364537,0.00429665542848431,0.00458876282624963,0.0048866890964804,0.00997587495475827,0.0100038055425924,0.0101911732359797,0.0101911732359797,0.0119286885541615,0.0131308676055223,0.0131308676055223
8,5505645,16.2083333333,-16.2916666667,152968,16.25,-16.25,"MULTIPOLYGON (((-16.333333333333314 16.166666666666686, -16.333333333333314 16.25, -16.25 16.25, -16.25 16.166666666666686, -16.333333333333314 16.166666666666686)))",8602.2,122.8,2022-08-20,0.00060914649740764,0.00060914649740764,0.000889307386482528,0.000986956824998256,0.00112180604961522,0.00280509637069587,0.00280509637069587,0.00298063286136105,0.00312594452581898,0.00507195833623957,0.00987305572992955,0.00991025551603078,0.0116621329427356,0.0116621329427356,0.0123596289321336,0.0142568180232964,0.014275417916347
9,5522926,16.5416666667,-16.2083333333,153688,16.75,-16.25,"MULTIPOLYGON (((-16.25 16.5, -16.25 16.583333333333314, -16.16666666666663 16.583333333333314, -16.16666666666663 16.5, -16.25 16.5)))",1952.78,273.33,2022-08-30,0.000343100605290919,0.00058378311945022,0.00451151691434775,0.0054896096846547,0.00591976566740749,0.00616556908612337,0.00616556908612337,0.0111840555515726,0.0149735249234425,0.0198435051567509,0.061578877292885,0.0618349225207141,0.119762594864757,0.119762594864757,0.133973105009269,0.139969684245025,0.139969684245025
