,ID,latitude,longitude,geometry,aoi_area,total_flooding_area,flooding_date,2019-02-02,2019-02-12,2019-02-17,2019-02-22,2019-02-27,2019-03-04,2019-03-09,2019-03-14,2019-03-19,2019-03-24,2019-03-29,2019-04-03,2019-04-08,2019-04-13,2019-04-18,2019-04-23,2019-04-28,2019-05-03,2019-05-08,2019-05-13,2019-05-18,2019-05-23,2019-05-28
0,ID0,15.961332706149511,-16.50340463792821,"POLYGON ((-16.508032585608092 15.956804195173698, -16.50809987401282 15.965796053968957, -16.498776488107644 15.965861169516739, -16.49870961531303 15.956869272153263, -16.508032585608092 15.956804195173698))",18.310000000000002,0.69,2019-04-03,0.004915346805024577,0.004915346805024577,0.004915346805024577,0.004915346805024577,0.004915346805024577,0.004915346805024577,0.008192244675040962,0.008192244675040962,0.010922992900054615,0.012015292190060077,0.012015292190060077,0.03604587657018023,0.03768432550518842,0.03768432550518842,0.03768432550518842,0.03768432550518842,0.03768432550518842,0.03768432550518842,0.03768432550518842,0.03768432550518842,0.03768432550518842,0.03768432550518842,0.03768432550518842
1,ID1,15.97032458036201,-16.503471739926397,"POLYGON ((-16.50809987401282 15.965796053968957, -16.50816720534679 15.9747879049892, -16.498843403566397 15.97485305910851, -16.498776488107644 15.965861169516739, -16.50809987401282 15.965796053968957))",87.97,1.4500000000000002,2019-04-03,0.004205979311128794,0.004205979311128794,0.004205979311128794,0.005456405592815733,0.005456405592815733,0.005570080709332728,0.00920768443787655,0.00920768443787655,0.011026486302148461,0.011594861884733434,0.011594861884733434,0.016141866545413212,0.016141866545413212,0.016141866545413212,0.016141866545413212,0.016141866545413212,0.016141866545413212,0.016141866545413212,0.016141866545413212,0.016141866545413212,0.016141866545413212,0.016482891894964196,0.016482891894964196
2,ID2,15.97931644679917,-16.503538884725767,"POLYGON ((-16.50816720534679 15.9747879049892, -16.508234579618996 15.983779748230464, -16.49891036169823 15.983844940924621, -16.498843403566397 15.97485305910851, -16.50816720534679 15.9747879049892))",84.25,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,ID3,15.988308305457043,-16.50360607233529,"POLYGON ((-16.508234579618996 15.983779748230464, -16.508301996838455 15.9927715836888, -16.4989773625121 15.992836814961121, -16.49891036169823 15.983844940924621, -16.508234579618996 15.983779748230464))",83.9,1.11,2019-05-18,0.0009535160905840285,0.0009535160905840285,0.0009535160905840285,0.003575685339690107,0.003575685339690107,0.003575685339690107,0.004410011918951132,0.004410011918951132,0.005125148986889154,0.005721096543504172,0.005721096543504172,0.00798569725864124,0.008104886769964244,0.008104886769964244,0.008939213349225268,0.009296781883194279,0.009296781883194279,0.009296781883194279,0.009535160905840286,0.009535160905840286,0.013230035756853397,0.013230035756853397,0.013230035756853397
4,ID4,15.997300156331663,-16.50367330276395,"POLYGON ((-16.508301996838455 15.9927715836888, -16.50836945701418 16.00176341136024, -16.49904440601696 16.00182868121405, -16.4989773625121 15.992836814961121, -16.508301996838455 15.9927715836888))",86.32000000000001,1.58,2019-05-18,0.0005792400370713623,0.0008109360518999073,0.0011584800741427247,0.002432808155699722,0.002432808155699722,0.002432808155699722,0.004054680259499536,0.004054680259499536,0.0079935125115848,0.0079935125115848,0.0079935125115848,0.0126274328081557,0.0126274328081557,0.0126274328081557,0.012743280815569972,0.012974976830398516,0.012974976830398516,0.012974976830398516,0.012974976830398516,0.012974976830398516,0.01830398517145505,0.01830398517145505,0.01830398517145505
5,ID5,16.006291999419076,-16.503740576020736,"POLYGON ((-16.50836945701418 16.00176341136024, -16.508436960155194 16.01075523124084, -16.499111492221786 16.010820539679465, -16.49904440601696 16.00182868121405, -16.50836945701418 16.00176341136024))",71.45,0.1,2019-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006997900629811057,0.0006997900629811057,0.0006997900629811057,0.0006997900629811057,0.0006997900629811057,0.0006997900629811057,0.0006997900629811057,0.000979706088173548,0.000979706088173548,0.0013995801259622115,0.0013995801259622115,0.0013995801259622115
6,ID6,16.015283834715337,-16.503807892114644,"POLYGON ((-16.508436960155194 16.01075523124084, -16.508504506270526 16.019747043326646, -16.499178621135552 16.019812390353408, -16.499111492221786 16.010820539679465, -16.508436960155194 16.01075523124084))",53.080000000000005,0.18,2019-04-18,0.0,0.0,0.0,0.0,0.0,0.0,0.00018839487565938204,0.00018839487565938204,0.00018839487565938204,0.00018839487565938204,0.00018839487565938204,0.0003767897513187641,0.0003767897513187641,0.0003767897513187641,0.0016955538809344385,0.0018839487565938205,0.0018839487565938205,0.0022607385079125844,0.003391107761868877,0.003391107761868877,0.003391107761868877,0.003391107761868877,0.003391107761868877
7,ID7,16.0242756622165,-16.503875251054694,"POLYGON ((-16.508504506270526 16.019747043326646, -16.508572095369214 16.02873884761371, -16.499245792767233 16.028804233231934, -16.499178621135552 16.019812390353408, -16.508504506270526 16.019747043326646))",26.51,0.02,2019-04-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003772161448509996,0.0003772161448509996,0.0003772161448509996,0.0003772161448509996,0.0003772161448509996,0.0003772161448509996,0.0007544322897019992,0.0007544322897019992
8,ID8,16.0332674819186,-16.50394265284988,"POLYGON ((-16.508572095369214 16.02873884761371, -16.5086397274603 16.037730644098065, -16.49931300712582 16.037796068311092, -16.499245792767233 16.028804233231934, -16.508572095369214 16.02873884761371))",3.52,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,ID9,15.934421816161318,-16.493881634758157,"POLYGON ((-16.498509252824615 15.929893533472136, -16.498575997680444 15.938885454127009, -16.48925381490999 15.938950051235997, -16.489187484878272 15.929958092261732, -16.498509252824615 15.929893533472136))",7.62,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
