,ID,geometry,latitude,longitude,aoi_area,date,p,year,2022-07-04,2022-07-16,2022-07-28,2022-08-04,2022-08-09,2022-08-16,2022-08-21,2022-08-28,2022-09-02,2022-09-09,2022-09-14,2022-09-21,2022-09-26
0,5509970,"MULTIPOLYGON (((-15.916666666666686 16.25, -15.916666666666686 16.33333333333337, -15.833333333333314 16.33333333333337, -15.833333333333314 16.25, -15.916666666666686 16.25)))",16.2916666667,-15.875,1114.78,2022-07-04,0.0164337358043739,2022.0,14.539472722084232,16.42735538253544,18.319999999999933,20.187680460451336,22.012779840845596,23.78728562666729,25.509866831354486,27.183287120711068,28.812428791035153,30.402932565250417,31.96034392531639,33.489631370460856,34.9949569639914
1,5509969,"MULTIPOLYGON (((-16 16.25, -16 16.33333333333337, -15.916666666666686 16.33333333333337, -15.916666666666686 16.25, -16 16.25)))",16.2916666667,-15.9583333333,6401.76,2022-07-04,0.0017026567693884,2022.0,9.055424877673527,10.231229525913049,11.409999999999819,12.573222382846447,13.709924562447878,14.815116211805153,15.887968370401262,16.93020229515881,17.944858761228552,18.93545090444885,19.90543254300521,20.857898140663405,21.79543989951621
2,5505644,"MULTIPOLYGON (((-16.416666666666686 16.166666666666686, -16.416666666666686 16.25, -16.333333333333314 16.25, -16.333333333333314 16.166666666666686, -16.416666666666686 16.166666666666686)))",16.2083333333,-16.375,6766.410000000001,2022-07-04,0.0016892266356901,2022.0,10.432080601591545,23.011282663013134,34.75999999999951,43.19495133927398,48.5805430922415,51.852985811835374,53.80405255857716,54.961498414754516,55.6491510151813,56.05949906406924,56.30574311195536,56.454383487922755,56.54462269971526
3,5505643,"MULTIPOLYGON (((-16.5 16.166666666666686, -16.5 16.25, -16.416666666666686 16.25, -16.416666666666686 16.166666666666686, -16.5 16.166666666666686)))",16.2083333333,-16.4583333333,1883.63,2022-07-04,0.0074271486438419,2022.0,13.928370429725936,15.736904310234607,17.55,19.339180790443354,21.08757020779703,22.787492508079282,24.437672646848956,26.040758131467303,27.601426052547417,29.12508005022635,30.617032526708766,32.08204315237937,33.524099056662195
4,5527255,"MULTIPOLYGON (((-15.5 16.583333333333314, -15.5 16.6666666666668, -15.416666666666686 16.6666666666668, -15.416666666666686 16.583333333333314, -15.5 16.583333333333314)))",16.625,-15.4583333333,223.7,2022-07-04,0.0,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5505648,"MULTIPOLYGON (((-16.08333333333337 16.166666666666686, -16.08333333333337 16.25, -16 16.25, -16 16.166666666666686, -16.08333333333337 16.166666666666686)))",16.2083333333,-16.0416666667,6196.900000000001,2022-07-04,0.0031451209475705,2022.0,26.434657301381034,45.27301865986051,59.04999999999941,67.93285128325054,73.59981999950122,77.30925980611362,79.80629112858325,81.521592811882,82.71456420226296,83.54996510119997,84.13704435568039,84.5503225427167,84.84147485435423
6,5505647,"MULTIPOLYGON (((-16.16666666666663 16.166666666666686, -16.16666666666663 16.25, -16.08333333333337 16.25, -16.08333333333337 16.166666666666686, -16.16666666666663 16.166666666666686)))",16.2083333333,-16.125,8602.560000000001,2022-07-04,0.0022260815385187,2022.0,21.357444159075325,35.95190148540537,45.92999999999968,51.640138355569164,54.6923625518583,56.288227300480465,57.12028268346468,57.556351751868945,57.786783433928875,57.909663107111406,57.97577611938931,58.01164191907248,58.031244002891995
7,5505646,"MULTIPOLYGON (((-16.25 16.166666666666686, -16.25 16.25, -16.16666666666663 16.25, -16.16666666666663 16.166666666666686, -16.25 16.166666666666686)))",16.2083333333,-16.2083333333,8592.73,2022-07-04,0.0009682603782499,2022.0,8.535588198824787,20.55824821585603,31.119999999999692,37.95421628184725,41.84914689050882,43.961096737637455,45.08705734909694,45.685811016795036,46.00539649704267,46.177052597801335,46.26990924296683,46.320494377347615,46.34823331741471
8,5505645,"MULTIPOLYGON (((-16.333333333333314 16.166666666666686, -16.333333333333314 16.25, -16.25 16.25, -16.25 16.166666666666686, -16.333333333333314 16.166666666666686)))",16.2083333333,-16.2916666667,8602.2,2022-07-04,0.0038734277277905,2022.0,34.305199235184475,44.857242595994286,55.2099999999998,65.03474853320999,74.29909144113118,83.11966208981433,91.66338153056036,100.09754730341928,108.57001574064101,117.20416144028805,126.09985345117354,135.3362672743166,144.97482336330464
9,5522926,"MULTIPOLYGON (((-16.25 16.5, -16.25 16.583333333333314, -16.16666666666663 16.583333333333314, -16.16666666666663 16.5, -16.25 16.5)))",16.5416666667,-16.2083333333,1952.78,2022-07-04,0.012254324603898,2022.0,24.914292017162037,31.139976124084026,37.56999999999991,44.07566741186152,50.61216239458703,57.18968535910272,63.84788466412181,70.63836184289131,77.61435203943165,84.8252807412239,92.31420186864187,100.11678957193114,108.26111366742134
10,5522925,"MULTIPOLYGON (((-16.333333333333314 16.5, -16.333333333333314 16.583333333333314, -16.25 16.583333333333314, -16.25 16.5, -16.333333333333314 16.5)))",16.5416666667,-16.2916666667,865.6700000000001,2022-07-04,0.0232998717756188,2022.0,16.82515402337263,19.00982173088168,21.199999999999985,23.361289615806196,25.473304182637992,27.526771576711134,29.520151573401574,31.456642301259624,33.34189357914558,35.18243288118508,36.98467746816098,38.7543769134155,40.49634757841812
