,ID,geometry,latitude,longitude,aoi_area,date,p,year,2022-07-31,2022-08-02,2022-08-05,2022-08-07,2022-08-10,2022-08-12,2022-08-15,2022-08-17,2022-08-20,2022-08-22,2022-08-25,2022-08-27,2022-08-30,2022-09-01,2022-09-04,2022-09-06,2022-09-11,2022-09-16,2022-09-19,2022-09-24,2022-09-26,2022-09-29
0,5509970,"MULTIPOLYGON (((-15.916666666666686 16.25, -15.916666666666686 16.33333333333337, -15.833333333333314 16.33333333333337, -15.833333333333314 16.25, -15.916666666666686 16.25)))",16.2916666667,-15.875,1114.78,2022-07-31,0.0,2022.0,0.016519076452996075,0.025142893281153208,0.037997145056223716,0.059844099897124324,0.10349554725473503,0.19246259594337434,0.35851377278560403,0.6089544663443545,0.8719499970345763,1.0786477501788596,1.2199999999999112,1.3126653837994884,1.3737434685396432,1.4151237287548182,1.4442105568880608,1.4654683604874974,1.4815839313257015,1.4941954358496952,1.5043238713004798,1.5126238890193204,1.5195294110776363,1.5253387254524011
1,5509969,"MULTIPOLYGON (((-16 16.25, -16 16.33333333333337, -15.916666666666686 16.33333333333337, -15.916666666666686 16.25, -16 16.25)))",16.2916666667,-15.9583333333,6401.76,2022-07-31,0.0003483417060308,2022.0,0.49208070951750255,0.9853765678506371,1.9306556250407187,3.9187514352063877,8.114875347752655,15.877372799028235,26.846014966033923,37.528663194302084,45.51305211363428,50.78508937163626,54.129999999999846,56.25279101850808,57.62323660919014,58.52813095346738,59.139272872563836,59.5605238799822,59.856008896114346,60.06632888535296,60.21785128648451,60.32810855204902,60.409004995116156,60.46877066578969
2,5505644,"MULTIPOLYGON (((-16.416666666666686 16.166666666666686, -16.416666666666686 16.25, -16.333333333333314 16.25, -16.333333333333314 16.166666666666686, -16.416666666666686 16.166666666666686)))",16.2083333333,-16.375,6766.410000000001,2022-07-31,0.0086293913611501,2022.0,23.46470741810896,37.8984418599771,54.08827391819429,68.89715213303431,80.75005993524643,89.55164731417194,95.8374679568385,100.24328964315637,103.30819198397036,105.43748169736692,106.91999999999987,107.95648532560638,108.68491008569345,109.19977195334091,109.56584117926391,109.82765655724654,110.01598896391684,110.15221470537858,110.25127184361979,110.32366279860746,110.37681622641013,110.41601783422453
3,5505643,"MULTIPOLYGON (((-16.5 16.166666666666686, -16.5 16.25, -16.416666666666686 16.25, -16.416666666666686 16.166666666666686, -16.5 16.166666666666686)))",16.2083333333,-16.4583333333,1883.63,2022-07-31,0.0122157748602432,2022.0,8.63499074953634,14.15686921564305,19.921990551942656,24.615206541245957,27.91092387705223,30.068853305050254,31.44772654296897,32.32904325077839,32.89971450552275,33.276285030000736,33.52999999999987,33.70446844286206,33.82671698677421,33.913805391974044,33.97673244024181,34.02274674288702,34.05672874119241,34.08203060823384,34.10099658802957,34.11529216197381,34.12611679738408,34.13434439164792
4,5527255,"MULTIPOLYGON (((-15.5 16.583333333333314, -15.5 16.6666666666668, -15.416666666666686 16.6666666666668, -15.416666666666686 16.583333333333314, -15.5 16.583333333333314)))",16.625,-15.4583333333,223.7,2022-07-31,0.0021010281627179,2022.0,0.5683632761814723,1.6899021346018854,3.8262015286622617,7.5351884426685185,12.475166181278407,17.03770225941993,20.375239962745127,22.566223582068023,23.94598665173297,24.804865950694598,25.339999999999993,25.675400927095303,25.8872443444109,26.022137919430293,26.108715687869317,26.164699544717866,26.201151808216288,26.225038260944633,26.240782322174464,26.251215362048278,26.258163122587685,26.262810932457466
5,5505648,"MULTIPOLYGON (((-16.08333333333337 16.166666666666686, -16.08333333333337 16.25, -16 16.25, -16 16.166666666666686, -16.08333333333337 16.166666666666686)))",16.2083333333,-16.0416666667,6196.900000000001,2022-07-31,0.0001968726298633,2022.0,2.7732563796289,6.613414790130358,13.187908767902046,24.193692690382537,41.855094964813034,63.634906099565825,82.76477651823372,96.35727394970536,105.2258079871505,110.91209365014643,114.59999999999944,117.04369995711288,118.70086905447712,119.84903411723116,120.65950160789765,121.24063658155177,121.66278346855198,121.9727428509132,122.20234989248299,122.3736839248815,122.5023151781579,122.59938017089925
6,5505647,"MULTIPOLYGON (((-16.16666666666663 16.166666666666686, -16.16666666666663 16.25, -16.08333333333337 16.25, -16.08333333333337 16.166666666666686, -16.16666666666663 16.166666666666686)))",16.2083333333,-16.125,8602.560000000001,2022-07-31,0.0009927277461592,2022.0,2.25780820441997,5.384059617049655,10.679751744482061,18.846819369876314,31.360232808133237,47.86659032613693,63.6757571465503,75.78795270700562,84.14096641744575,89.67206801461523,93.29999999999963,95.69321634869652,97.29259403837521,98.37876806382151,99.12888320303595,99.65533867475717,100.03033326039494,100.30098507046945,100.49858348437863,100.64427591715153,100.75260068386658,100.83371305268344
7,5505646,"MULTIPOLYGON (((-16.25 16.166666666666686, -16.25 16.25, -16.16666666666663 16.25, -16.16666666666663 16.166666666666686, -16.25 16.166666666666686)))",16.2083333333,-16.2083333333,8592.73,2022-07-31,0.0041011413136453,2022.0,10.68025213937865,14.208472326473471,19.141847632245703,26.40174456202385,36.66829194863885,48.86715262393016,60.5692743575652,70.14479922918477,77.28455542844833,82.37698229067186,85.96,88.4916756846155,90.30493216588594,91.62665540279983,92.60796819466323,93.34937441970922,93.91839148099803,94.36112253115405,94.7096594582732,94.98679288661194,95.2090260915544,95.38852767237734
8,5505645,"MULTIPOLYGON (((-16.333333333333314 16.166666666666686, -16.333333333333314 16.25, -16.25 16.25, -16.25 16.166666666666686, -16.333333333333314 16.166666666666686)))",16.2083333333,-16.2916666667,8602.2,2022-07-31,0.0028050963706958,2022.0,1.4369681244068016,3.094645069311158,5.823132195411977,10.046233258622259,16.58833409794807,27.63291275603302,43.60318213510283,59.5681345082173,71.74407098290898,79.9420832863739,85.24999999999929,88.68735356084238,90.94825147588581,92.4650266751997,93.50231942906997,94.22381243552523,94.7328813397002,95.09637013279644,95.358489846815,95.54907874967911,95.68862806844362,95.79141832458791
9,5522926,"MULTIPOLYGON (((-16.25 16.5, -16.25 16.583333333333314, -16.16666666666663 16.583333333333314, -16.16666666666663 16.5, -16.25 16.5)))",16.5416666667,-16.2083333333,1952.78,2022-07-31,0.0061655690861233,2022.0,1.6394818772007205,2.576654860208203,4.348118040430187,7.891661439676606,14.500218968801805,26.003082393602067,44.42841742378806,67.90713256979156,90.39242363222773,108.11006860745557,120.74999999999987,129.4238444677097,135.3516393736196,139.46678631318008,142.40012804906632,144.55710635057505,146.1937811053805,147.47191474531377,148.49488524870353,149.3300705228421,150.02253689984343,150.60335993304875
